"Disease","Report Year","DHBName","Age Group (year)","Case Count","Case rate per 100,000"
"Brucellosis",2006,"Waitemata","35–39",0,0
"Pertussis",2006,"Waitemata","35–39",2,5
"Leptospirosis",2006,"Waitemata","35–39",0,0
"Rheumatic fever",2006,"Waitemata","35–39",1,2.5
"VTEC/STEC infection",2006,"Waitemata","35–39",1,2.5
"Hepatitis NOS",2006,"Waitemata","35–39",0,0
"Giardiasis",2006,"Waitemata","35–39",14,35.3
"Measles",2006,"Waitemata","35–39",0,0
"Rickettsial disease",2006,"Waitemata","35–39",0,0
"Meningococcal disease",2006,"Waitemata","35–39",0,0
"Q fever",2006,"Waitemata","35–39",0,0
"Malaria",2006,"Waitemata","35–39",0,0
"Rabies and other lyssaviruses",2006,"Waitemata","35–39",0,0
"Cryptosporidiosis",2006,"Waitemata","35–39",6,15.1
"Hepatitis C",2006,"Waitemata","35–39",0,0
"Shigellosis",2006,"Waitemata","35–39",3,7.6
"Diphtheria",2006,"Waitemata","35–39",0,0
"Salmonellosis",2006,"Waitemata","35–39",4,10.1
"Rubella",2006,"Waitemata","35–39",0,0
"Arboviral diseases",2006,"Waitemata","35–39",0,0
"Meningoencephalitis - primary amoebic",2006,"Waitemata","35–39",0,0
"Tetanus",2006,"Waitemata","35–39",0,0
"Legionellosis",2006,"Waitemata","35–39",1,2.5
"Poliomyelitis",2006,"Waitemata","35–39",0,0
"Cholera",2006,"Waitemata","35–39",0,0
"Tuberculosis disease",2006,"Waitemata","35–39",5,12.6
"Cysticercosis",2006,"Waitemata","35–39",0,0
"Acute gastroenteritis",2006,"Waitemata","35–39",9,22.7
"Mumps",2006,"Waitemata","35–39",1,2.5
"Taeniasis",2006,"Waitemata","35–39",0,0
"Mpox",2006,"Waitemata","35–39",0,0
"Hepatitis B",2006,"Waitemata","35–39",1,2.5
"Toxic shellfish poisoning",2006,"Waitemata","35–39",0,0
"Rheumatic fever",2006,"Waitemata","40–44",0,0
"Hepatitis NOS",2006,"Waitemata","40–44",0,0
"Hepatitis A",2006,"Waitemata","40–44",2,5
"Brucellosis",2006,"Waitemata","40–44",0,0
